address,in_degree,out_degree,total_degree
0x57f3dfd2675615978808285b74d6188caae37007,0,2,2
0x5e178fd2408fcc411db928e2ee8f4adade5b1232,1,1,2
0xb136e2c5c0762721284c93e8f0c39412d123c5bd,1,1,2
0xabccf19a552d55125f16d2204c16a1390c8b6f66,1,1,2
0x0257b51a38a9a58fab2b3878ca590eeb4529ad7b,1,1,2
0x14460580e87eca84aca2e232e3762b22c58d0bfd,1,1,2
0x005f258acd3b57a5dd541be8c7fb733fca1b3516,2,1,3
0x8c5d2fc36d9a95f4b518956cd853a0eb49fcbb42,1,1,2
0xa3ce70fb757ca9ab44f2c89863650ff910669e28,1,1,2
0x905649f57ee2a6e6dc6ac27e5c3b4e6abc144d5b,1,1,2
0x4e3d67bc79b3df3880354f77a4a64cf008fb04e8,1,1,2
0x8ab699338a1e374ade30e64baa1e583c46bc803c,1,1,2
0x3939d22af089bdfbb96322744234f69db1ab52f8,1,1,2
0x7c944cc33a48dac052cd0eaf7231d608e7b2c641,1,1,2
0xdb7bcd9d1300c0c9a82f099746467778926d92e1,1,1,2
0x29590858d84f679408cfe1ef0da5832f70045504,1,1,2
0x299b8853484d9a9254118d18fbc44975e02a329b,1,1,2
0x4e36c2fc7900ae194151697a4fb0eb5367bad896,1,1,2
0x823d2610f83bf088c49ff96e68033623fb3882d5,1,1,2
